algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_moons,ball_tree,29,2,uniform,0.001216888427734375
kNN,make_moons,ball_tree,29,2,distance,0.001217794418334961
kNN,make_moons,ball_tree,29,3,uniform,0.0012453556060791015
kNN,make_moons,ball_tree,29,3,distance,0.0012272357940673827
kNN,make_moons,ball_tree,29,4,uniform,0.0012443780899047852
kNN,make_moons,ball_tree,29,4,distance,0.0012471437454223632
kNN,make_moons,ball_tree,29,5,uniform,0.0012505054473876953
kNN,make_moons,ball_tree,29,5,distance,0.0012465715408325195
kNN,make_moons,ball_tree,29,6,uniform,0.0012449264526367188
kNN,make_moons,ball_tree,29,6,distance,0.0012475013732910155
kNN,make_moons,ball_tree,29,7,uniform,0.0012911319732666015
kNN,make_moons,ball_tree,29,7,distance,0.0012465953826904298
kNN,make_moons,ball_tree,29,8,uniform,0.0012529850006103515
kNN,make_moons,ball_tree,29,8,distance,0.0013054609298706055
kNN,make_moons,ball_tree,29,9,uniform,0.0012658119201660156
kNN,make_moons,ball_tree,29,9,distance,0.0012441635131835937
kNN,make_moons,ball_tree,30,1,uniform,0.0012478590011596679
kNN,make_moons,ball_tree,30,1,distance,0.001242995262145996
kNN,make_moons,ball_tree,30,2,uniform,0.00124666690826416
kNN,make_moons,ball_tree,30,2,distance,0.0012345075607299804
kNN,make_moons,ball_tree,30,3,uniform,0.0012348175048828125
kNN,make_moons,ball_tree,30,3,distance,0.0012354373931884766
kNN,make_moons,ball_tree,30,4,uniform,0.001239466667175293
kNN,make_moons,ball_tree,30,4,distance,0.0012162208557128906
kNN,make_moons,ball_tree,30,5,uniform,0.0012471437454223632
kNN,make_moons,ball_tree,30,5,distance,0.0012523889541625976
kNN,make_moons,ball_tree,30,6,uniform,0.001283121109008789
kNN,make_moons,ball_tree,30,6,distance,0.0012472152709960937
kNN,make_moons,ball_tree,30,7,uniform,0.0012990474700927735
kNN,make_moons,ball_tree,30,7,distance,0.001243281364440918
kNN,make_moons,ball_tree,30,8,uniform,0.0012506723403930664
kNN,make_moons,ball_tree,30,8,distance,0.0012503862380981445
kNN,make_moons,ball_tree,30,9,uniform,0.001251983642578125
