algorithm_name,dataset_name,algorithm,leaf_size,n_neighbors,weights,mean_fit_time
kNN,make_regression,auto,31,1,uniform,0.0031125545501708984
kNN,make_regression,auto,31,1,distance,0.003169536590576172
kNN,make_regression,auto,31,2,uniform,0.003155310948689779
kNN,make_regression,auto,31,2,distance,0.003163576126098633
kNN,make_regression,auto,31,3,uniform,0.0030821959177652993
kNN,make_regression,auto,31,3,distance,0.003141641616821289
kNN,make_regression,auto,31,4,uniform,0.0031740665435791016
kNN,make_regression,auto,31,4,distance,0.0031807422637939453
kNN,make_regression,auto,31,5,uniform,0.0031653245290120444
kNN,make_regression,auto,31,5,distance,0.003142118453979492
kNN,make_regression,auto,31,6,uniform,0.003190279006958008
kNN,make_regression,auto,31,6,distance,0.0031974315643310547
kNN,make_regression,auto,31,7,uniform,0.003158092498779297
kNN,make_regression,auto,31,7,distance,0.0031501452128092446
kNN,make_regression,auto,31,8,uniform,0.0031707286834716797
kNN,make_regression,auto,31,8,distance,0.0031903584798177085
kNN,make_regression,auto,31,9,uniform,0.0031581719716389975
kNN,make_regression,auto,31,9,distance,0.003154198328653971
kNN,make_regression,auto,32,1,uniform,0.002821842829386393
kNN,make_regression,auto,32,1,distance,0.0028377374013264975
kNN,make_regression,auto,32,2,uniform,0.0028062661488850913
kNN,make_regression,auto,32,2,distance,0.002828359603881836
kNN,make_regression,auto,32,3,uniform,0.002821048100789388
kNN,make_regression,auto,32,3,distance,0.0028111934661865234
kNN,make_regression,auto,32,4,uniform,0.002801656723022461
kNN,make_regression,auto,32,4,distance,0.0028078556060791016
kNN,make_regression,auto,32,5,uniform,0.0028449694315592446
kNN,make_regression,auto,32,5,distance,0.0028263727823893228
kNN,make_regression,auto,32,6,uniform,0.0028423468271891275
kNN,make_regression,auto,32,6,distance,0.0028568903605143228
kNN,make_regression,auto,32,7,uniform,0.0028632481892903647
kNN,make_regression,auto,32,7,distance,0.0028488636016845703
kNN,make_regression,auto,32,8,uniform,0.002810239791870117
kNN,make_regression,auto,32,8,distance,0.002818902333577474
kNN,make_regression,auto,32,9,uniform,0.0028295516967773438
kNN,make_regression,auto,32,9,distance,0.0028320948282877603
kNN,make_regression,auto,33,1,uniform,0.002835353215535482
kNN,make_regression,auto,33,1,distance,0.002814133961995443
kNN,make_regression,auto,33,2,uniform,0.002854585647583008
kNN,make_regression,auto,33,2,distance,0.0028537114461263022
kNN,make_regression,auto,33,3,uniform,0.0027996699015299478
kNN,make_regression,auto,33,3,distance,0.0027937889099121094
kNN,make_regression,auto,33,4,uniform,0.0028423468271891275
kNN,make_regression,auto,33,4,distance,0.0028015772501627603
kNN,make_regression,auto,33,5,uniform,0.0028852621714274087
kNN,make_regression,auto,33,5,distance,0.002803325653076172
kNN,make_regression,auto,33,6,uniform,0.0028715928395589194
