algorithm_name,dataset_name,max_depth,max_features,min_samples_leaf,n_estimators,mean_fit_time
Random Forest,make_moons,1,auto,1,191,0.2562590440114339
Random Forest,make_moons,1,auto,1,192,0.2572471300760905
Random Forest,make_moons,1,auto,1,193,0.25765522321065265
Random Forest,make_moons,1,auto,1,194,0.26269038518269855
Random Forest,make_moons,1,auto,1,195,0.2621580759684245
Random Forest,make_moons,1,auto,1,196,0.2617976665496826
Random Forest,make_moons,1,auto,1,197,0.2631107171376546
Random Forest,make_moons,1,auto,1,198,0.26880598068237305
Random Forest,make_moons,1,auto,1,199,0.26803000768025714
Random Forest,make_moons,1,auto,2,50,0.06811078389485677
Random Forest,make_moons,1,auto,2,51,0.06905714670817058
Random Forest,make_moons,1,auto,2,52,0.07025424639383952
Random Forest,make_moons,1,auto,2,53,0.07165797551472981
Random Forest,make_moons,1,auto,2,54,0.07353560129801433
Random Forest,make_moons,1,auto,2,55,0.07530856132507324
Random Forest,make_moons,1,auto,2,56,0.07661708196004231
Random Forest,make_moons,1,auto,2,57,0.07737302780151367
Random Forest,make_moons,1,auto,2,58,0.07891464233398438
Random Forest,make_moons,1,auto,2,59,0.07795961697896321
Random Forest,make_moons,1,auto,2,60,0.07551074028015137
Random Forest,make_moons,1,auto,2,61,0.08363835016886394
Random Forest,make_moons,1,auto,2,62,0.08417336146036784
Random Forest,make_moons,1,auto,2,63,0.08585778872172038
Random Forest,make_moons,1,auto,2,64,0.08678054809570312
Random Forest,make_moons,1,auto,2,65,0.08866167068481445
Random Forest,make_moons,1,auto,2,66,0.08947618802388509
Random Forest,make_moons,1,auto,2,67,0.09110625584920247
Random Forest,make_moons,1,auto,2,68,0.09213344256083171
Random Forest,make_moons,1,auto,2,69,0.09457755088806152
Random Forest,make_moons,1,auto,2,70,0.09474094708760579
Random Forest,make_moons,1,auto,2,71,0.09617066383361816
Random Forest,make_moons,1,auto,2,72,0.09767731030782063
Random Forest,make_moons,1,auto,2,73,0.1087661584218343
Random Forest,make_moons,1,auto,2,74,0.10007548332214355
Random Forest,make_moons,1,auto,2,75,0.10131263732910156
Random Forest,make_moons,1,auto,2,76,0.1029055913289388
Random Forest,make_moons,1,auto,2,77,0.10405953725179036
Random Forest,make_moons,1,auto,2,78,0.10538411140441895
Random Forest,make_moons,1,auto,2,79,0.1070266564687093
Random Forest,make_moons,1,auto,2,80,0.10821890830993652
Random Forest,make_moons,1,auto,2,81,0.1094053586324056
Random Forest,make_moons,1,auto,2,82,0.11081020037333171
Random Forest,make_moons,1,auto,2,83,0.11244289080301921
Random Forest,make_moons,1,auto,2,84,0.11403592427571614
Random Forest,make_moons,1,auto,2,85,0.11556569735209148
Random Forest,make_moons,1,auto,2,86,0.11595471700032552
Random Forest,make_moons,1,auto,2,87,0.11760465304056804
Random Forest,make_moons,1,auto,2,88,0.11928105354309082
Random Forest,make_moons,1,auto,2,89,0.12041584650675456
Random Forest,make_moons,1,auto,2,90,0.12195769945780437
Random Forest,make_moons,1,auto,2,91,0.12349120775858562
Random Forest,make_moons,1,auto,2,92,0.12471548716227214
Random Forest,make_moons,1,auto,2,93,0.12584702173868814
Random Forest,make_moons,1,auto,2,94,0.12687317530314127
Random Forest,make_moons,1,auto,2,95,0.1281739075978597
Random Forest,make_moons,1,auto,2,96,0.12938404083251953
Random Forest,make_moons,1,auto,2,97,0.13882660865783691
Random Forest,make_moons,1,auto,2,98,0.13273310661315918
Random Forest,make_moons,1,auto,2,99,0.13511530558268228
Random Forest,make_moons,1,auto,2,100,0.13528068860371908
Random Forest,make_moons,1,auto,2,101,0.13653206825256348
Random Forest,make_moons,1,auto,2,102,0.137405792872111
Random Forest,make_moons,1,auto,2,103,0.1392059326171875
Random Forest,make_moons,1,auto,2,104,0.140716552734375
Random Forest,make_moons,1,auto,2,105,0.14131808280944824
Random Forest,make_moons,1,auto,2,106,0.14340313275655112
Random Forest,make_moons,1,auto,2,107,0.14429291089375815
Random Forest,make_moons,1,auto,2,108,0.14597431818644205
Random Forest,make_moons,1,auto,2,109,0.1466684341430664
Random Forest,make_moons,1,auto,2,110,0.14796932538350424
Random Forest,make_moons,1,auto,2,111,0.14963404337565103
Random Forest,make_moons,1,auto,2,112,0.15112066268920898
Random Forest,make_moons,1,auto,2,113,0.1525119145711263
Random Forest,make_moons,1,auto,2,114,0.1535805861155192
Random Forest,make_moons,1,auto,2,115,0.15675568580627441
Random Forest,make_moons,1,auto,2,116,0.15632430712381998
Random Forest,make_moons,1,auto,2,117,0.1725193659464518
Random Forest,make_moons,1,auto,2,118,0.1593325138092041
Random Forest,make_moons,1,auto,2,119,0.16032719612121582
Random Forest,make_moons,1,auto,2,120,0.16141891479492188
Random Forest,make_moons,1,auto,2,121,0.1622300942738851
Random Forest,make_moons,1,auto,2,122,0.16526643435160318
Random Forest,make_moons,1,auto,2,123,0.16552042961120605
Random Forest,make_moons,1,auto,2,124,0.16666555404663086
Random Forest,make_moons,1,auto,2,125,0.16796239217122397
Random Forest,make_moons,1,auto,2,126,0.16961026191711426
Random Forest,make_moons,1,auto,2,127,0.1711125373840332
Random Forest,make_moons,1,auto,2,128,0.17213129997253418
Random Forest,make_moons,1,auto,2,129,0.17306232452392578
Random Forest,make_moons,1,auto,2,130,0.17626198132832846
Random Forest,make_moons,1,auto,2,131,0.17659385999043783
Random Forest,make_moons,1,auto,2,132,0.17742101351420084
Random Forest,make_moons,1,auto,2,133,0.17880980173746744
Random Forest,make_moons,1,auto,2,134,0.17977261543273926
Random Forest,make_moons,1,auto,2,135,0.18188079198201498
Random Forest,make_moons,1,auto,2,136,0.18289923667907715
Random Forest,make_moons,1,auto,2,137,0.18445491790771484
Random Forest,make_moons,1,auto,2,138,0.18540096282958984
Random Forest,make_moons,1,auto,2,139,0.18804558118184408
Random Forest,make_moons,1,auto,2,140,0.18769399325052896
Random Forest,make_moons,1,auto,2,141,0.18909994761149088
Random Forest,make_moons,1,auto,2,142,0.1913305918375651
Random Forest,make_moons,1,auto,2,143,0.1933121681213379
Random Forest,make_moons,1,auto,2,144,0.1929762363433838
Random Forest,make_moons,1,auto,2,145,0.1947617530822754
Random Forest,make_moons,1,auto,2,146,0.19685586293538412
Random Forest,make_moons,1,auto,2,147,0.19856524467468262
Random Forest,make_moons,1,auto,2,148,0.19846693674723306
Random Forest,make_moons,1,auto,2,149,0.20002031326293945
Random Forest,make_moons,1,auto,2,150,0.20200332005818686
Random Forest,make_moons,1,auto,2,151,0.21282744407653809
Random Forest,make_moons,1,auto,2,152,0.20606374740600586
Random Forest,make_moons,1,auto,2,153,0.20529818534851074
Random Forest,make_moons,1,auto,2,154,0.20639499028523764
Random Forest,make_moons,1,auto,2,155,0.2082516352335612
Random Forest,make_moons,1,auto,2,156,0.20973571141560873
Random Forest,make_moons,1,auto,2,157,0.21030616760253906
Random Forest,make_moons,1,auto,2,158,0.2126797835032145
Random Forest,make_moons,1,auto,2,159,0.21417411168416342
Random Forest,make_moons,1,auto,2,160,0.2154707113901774
Random Forest,make_moons,1,auto,2,161,0.2154711882273356
Random Forest,make_moons,1,auto,2,162,0.21781222025553384
Random Forest,make_moons,1,auto,2,163,0.21867887179056802
Random Forest,make_moons,1,auto,2,164,0.22063088417053223
Random Forest,make_moons,1,auto,2,165,0.22146240870157877
Random Forest,make_moons,1,auto,2,166,0.22799015045166016
Random Forest,make_moons,1,auto,2,167,0.22492059071858725
Random Forest,make_moons,1,auto,2,168,0.22743940353393555
Random Forest,make_moons,1,auto,2,169,0.2272937297821045
Random Forest,make_moons,1,auto,2,170,0.22828801472981772
Random Forest,make_moons,1,auto,2,171,0.23024980227152506
